红1,红2,红3,红4,红5,蓝1,蓝2
2,4,5,7,10,7,11
1,3,6,14,16,3,6
7,8,10,11,12,2,9
1,8,15,16,21,2,10
1,3,7,15,19,9,9
1,2,3,6,11,1,4
1,3,5,8,10,3,10
1,2,5,6,12,9,11
1,2,3,4,8,2,7
1,3,4,7,21,2,12
1,4,6,12,16,2,12
2,5,6,7,16,2,7
1,3,9,13,19,9,12
2,4,7,9,10,2,7
1,2,6,12,13,10,12
1,3,4,5,7,2,11
1,2,5,7,11,4,10
2,3,6,7,12,7,10
6,7,8,11,12,6,6
1,3,8,10,12,2,11
1,3,5,6,20,5,7
1,3,5,9,18,5,12
1,3,7,8,15,1,10
3,6,7,11,22,3,4
3,4,7,9,24,3,9
1,2,3,7,10,6,9
3,4,7,16,21,3,12
1,2,3,7,12,4,12
1,6,9,11,12,1,12
1,4,5,7,10,2,9
2,4,6,10,11,1,4
1,3,7,9,12,4,5
1,5,6,8,21,2,4
1,3,4,5,6,6,11
1,2,7,8,15,1,10
1,3,8,10,12,8,10
1,4,5,7,8,1,7
2,3,10,12,19,5,9
2,7,8,19,24,2,11
1,2,4,12,29,6,9
1,4,5,6,10,5,12
2,3,4,9,11,3,10
1,3,4,5,6,5,10
1,3,4,12,33,5,10
1,2,3,5,11,3,7
1,2,5,7,8,7,11
1,2,3,5,12,3,9
1,3,5,15,16,1,12
1,4,5,7,12,1,7
1,2,4,7,19,6,8
5,6,7,11,16,8,10
1,2,4,7,15,3,12
1,3,7,9,23,6,12
3,6,7,12,14,5,10
1,2,4,5,6,5,11
5,10,11,14,16,1,6
2,4,5,8,10,3,12
2,3,5,17,21,2,6
3,5,6,8,10,2,8
1,2,5,8,24,5,7
1,5,7,10,6,4,10
2,3,9,11,13,2,11
1,2,4,6,7,6,12
1,2,5,6,7,3,10
1,4,7,8,21,6,12
1,3,8,13,16,2,8
1,3,4,7,11,5,11
1,2,3,4,24,3,8
1,2,7,9,17,3,9
1,3,5,19,20,1,11
1,2,7,9,12,5,9
1,2,3,5,10,2,12
2,4,5,6,9,3,10
1,2,5,7,8,7,8
5,6,15,17,9,3,10
1,3,4,5,18,4,12
1,3,4,5,7,2,10
1,2,4,9,24,1,11
1,2,3,5,7,11,11
1,3,4,5,6,8,9
3,4,8,9,11,1,9
1,2,5,9,19,7,12
1,2,4,5,11,3,11
3,4,9,13,17,7,8
1,2,4,11,14,4,10
1,5,6,7,13,1,11
1,3,7,8,17,2,8
1,2,7,9,18,2,11
1,2,3,6,9,5,9
3,6,10,18,20,5,11
1,3,4,6,17,2,7
3,7,10,12,13,7,12
4,7,8,9,11,2,10
1,2,8,10,15,2,9
3,5,6,7,8,8,10
1,2,4,8,23,1,8
2,3,5,6,8,7,10
1,2,9,17,26,3,8
1,4,5,7,9,2,5
1,2,4,5,12,5,6
1,3,5,6,8,5,6
2,5,8,10,21,3,5
1,2,3,9,10,6,7
2,5,7,8,22,6,12
2,6,7,8,20,9,11
2,3,4,11,17,3,12
2,4,5,8,9,5,12
1,3,4,9,19,7,7
1,3,6,9,11,1,7
1,4,5,11,13,7,10
1,2,3,8,20,2,12
1,2,4,7,8,4,12
2,4,5,6,10,7,9
1,2,4,7,12,6,9
1,2,3,4,9,6,9
2,4,9,12,21,1,4
1,5,7,10,14,3,11
2,3,5,6,10,5,11
2,5,7,10,14,3,12
1,2,3,13,21,5,6
1,5,6,10,13,9,10
1,2,4,7,13,4,9
1,2,8,12,13,7,10
3,4,5,10,11,3,6
1,2,3,4,11,6,10
3,5,7,11,20,1,10
1,2,3,7,11,5,11
1,2,3,7,15,8,11
1,2,5,7,14,4,9
1,3,4,5,20,1,11
3,9,10,12,14,1,12
1,3,8,11,12,4,5
1,3,4,6,8,1,12
1,2,6,7,13,2,11
5,6,8,11,24,7,10
1,7,12,14,17,4,5
2,4,7,10,16,5,5
2,3,5,9,19,7,10
1,2,6,13,14,4,9
1,4,5,6,11,7,12
1,2,3,4,10,2,11
1,4,6,7,12,6,9
2,3,7,8,13,6,12
1,2,8,11,12,5,11
1,4,5,6,13,3,11
1,5,6,7,13,1,6
5,7,8,11,22,7,11
1,2,4,10,14,4,11
1,4,11,12,18,5,7
1,3,4,9,13,4,9
1,3,7,9,16,4,8
1,4,6,11,26,4,12
1,2,17,19,20,1,6
1,3,4,9,13,1,12
3,6,11,13,21,8,10
2,3,5,9,11,3,7
1,2,3,5,18,3,10
4,6,11,12,23,5,10
1,2,8,11,14,5,10
1,4,5,7,8,3,4
1,3,5,9,16,4,9
3,4,6,8,14,8,9
1,5,6,10,24,1,10
1,2,3,8,19,6,12
3,5,7,10,12,1,9
1,3,7,8,11,7,11
1,6,7,11,24,4,4
3,5,10,16,17,4,7
1,2,3,4,8,2,11
2,3,4,5,14,5,12
1,3,5,7,13,4,10
1,2,7,8,10,7,10
1,3,5,6,9,1,11
1,3,5,8,11,1,7
1,3,10,11,13,3,12
1,4,5,7,18,5,11
2,7,8,9,18,2,11
1,4,5,7,29,8,9
1,7,9,12,7,4,9
2,3,6,7,12,1,10
2,3,4,7,8,7,8
1,2,3,5,11,3,3
1,4,5,18,25,4,10
1,2,3,6,11,3,6
2,3,6,7,8,5,10
5,6,7,11,12,2,6
5,6,8,13,15,1,10
2,5,6,7,22,6,7
3,6,11,13,20,4,12
3,7,8,10,16,4,4
1,2,5,7,15,3,7
3,6,15,16,18,6,10
4,5,7,12,13,1,12
1,4,5,7,16,4,7
1,2,8,11,14,3,11
4,9,11,16,18,3,7
3,6,9,11,17,4,11
2,4,5,10,13,3,12
1,3,4,9,23,6,12
2,3,6,7,9,2,6
1,2,3,5,12,9,10
3,5,6,9,13,9,12
2,3,5,6,9,6,8
1,5,10,16,17,7,8
1,3,4,5,10,8,9
1,3,5,6,8,2,6
2,3,4,11,13,6,10
2,3,8,10,14,7,12
1,4,5,6,7,6,6
1,2,3,6,16,6,11
1,5,7,11,15,6,9
2,3,7,8,11,1,5
2,3,5,9,16,6,8
1,4,11,19,23,2,11
1,3,4,5,17,6,12
3,6,7,10,12,7,9
5,6,11,15,20,2,6
1,3,4,6,8,7,7
1,2,3,7,16,3,11
1,3,4,5,35,2,12
1,2,5,6,8,5,10
1,2,4,6,15,6,9
3,5,6,7,8,3,10
1,2,6,12,16,9,11
2,4,6,7,8,1,10
2,4,7,11,17,5,10
1,4,9,14,30,3,11
2,5,7,8,10,1,12
1,2,3,4,14,9,10
2,5,6,10,15,6,11
1,3,5,6,14,2,8
2,4,6,7,9,6,9
1,3,7,10,15,3,3
1,4,5,9,15,5,7
1,2,7,10,13,5,5
2,3,5,10,11,2,12
1,3,5,12,16,3,10
2,7,9,11,12,3,10
1,2,5,7,8,2,5
1,2,3,5,13,5,7
3,4,6,9,21,6,12
2,3,4,5,9,3,5
4,5,7,15,20,4,5
6,7,9,11,16,5,8
2,7,8,9,13,4,12
1,3,4,5,10,2,4
1,2,3,5,7,2,11
2,4,5,20,22,4,9
1,3,6,8,15,3,12
1,3,4,6,7,4,9
1,2,7,8,9,3,10
2,4,6,9,11,4,11
2,4,6,8,12,8,11
1,4,5,6,17,3,10
2,5,7,9,11,4,7
1,4,9,10,21,7,11
2,4,6,10,13,8,11
2,4,5,7,8,1,11
8,11,14,15,18,7,10
3,4,6,13,17,3,8
1,2,6,9,11,5,10
4,6,9,12,22,6,8
2,3,5,6,15,11,12
1,4,6,8,10,5,10
2,3,5,7,16,1,10
2,4,7,8,11,2,3
6,7,10,11,17,4,9
1,2,3,6,14,1,9
2,6,12,13,23,8,12
1,6,10,13,25,9,10
1,3,10,11,19,5,9
1,2,4,9,19,9,10
1,2,3,7,10,1,6
1,2,3,5,12,2,10
1,3,4,5,6,2,11
4,6,7,8,9,8,5
1,5,7,9,16,4,11
1,4,5,7,10,8,12
4,5,8,12,19,9,11
1,2,4,5,11,8,10
2,3,5,9,15,8,8
1,2,3,6,22,4,9
1,2,3,6,9,2,10
2,3,6,15,16,7,10
5,6,8,9,15,3,11
2,3,5,6,14,4,10
9,10,11,15,24,2,8
2,7,9,14,15,5,6
2,5,6,7,11,1,12
2,3,5,9,11,1,3
2,3,5,6,7,3,12
3,4,5,7,10,2,6
1,5,11,21,23,9,9
2,3,4,8,14,2,2
1,2,7,13,14,9,11
3,4,7,13,14,2,6
1,3,4,8,11,4,7
1,2,3,4,6,4,12
6,7,8,10,15,5,12
1,3,6,10,11,4,5
1,2,6,7,8,4,5
3,6,10,15,21,2,12
1,2,3,4,7,5,7
1,2,3,5,10,4,9
2,3,4,10,15,1,12
1,2,4,5,7,10,10
1,4,6,7,15,1,8
3,4,6,10,11,2,5
1,2,4,7,11,1,9
2,5,8,12,17,2,12
4,6,7,9,14,4,10
1,5,8,10,11,7,9
2,3,5,11,14,5,8
1,3,4,18,20,7,8
1,3,4,6,9,6,11
1,2,3,4,13,3,9
1,4,6,9,10,6,11
1,2,3,10,11,7,9
1,2,3,4,15,1,12
2,3,7,9,16,3,10
1,2,6,9,25,1,8
1,2,4,10,15,3,12
1,2,4,5,9,4,8
2,3,5,8,14,3,8
2,3,6,11,32,2,12
2,3,4,7,11,5,11
1,2,3,7,8,6,11
6,7,10,12,20,2,9
2,3,4,6,11,9,11
1,5,9,10,13,7,11
1,2,9,12,20,5,12
3,4,6,7,9,2,11
1,2,6,8,11,1,11
1,3,4,5,15,1,7
2,3,4,5,34,5,12
1,2,3,5,11,1,11
2,8,9,11,23,10,11
1,2,6,9,11,8,9
1,4,7,11,14,1,5
1,4,7,8,14,5,7
1,2,5,8,27,8,12
2,3,7,10,22,3,9
1,4,11,13,29,4,8
1,3,6,7,8,6,12
1,2,3,6,8,3,10
1,2,5,6,18,4,5
1,2,6,7,14,3,7
2,5,6,7,20,1,12
3,8,9,14,29,9,9
3,4,8,9,16,6,9
1,3,4,6,10,2,4
1,4,12,16,21,1,10
1,2,4,5,8,1,12
1,2,3,6,7,1,5
2,3,5,6,7,2,12
2,3,5,6,12,3,11
2,3,4,7,21,5,11
1,2,4,13,24,7,10
1,2,3,6,12,3,5
1,2,9,14,25,6,7
3,5,6,10,11,7,10
1,2,5,6,17,5,11
1,2,4,5,7,4,8
1,5,6,12,17,1,5
2,5,7,15,16,7,7
1,2,7,9,10,6,11
1,2,3,7,15,1,8
1,5,6,18,22,5,10
1,2,3,6,9,3,10
3,7,8,11,17,4,10
1,2,3,6,10,6,8
1,2,7,13,17,4,10
1,6,7,9,23,1,11
1,3,4,6,8,8,9
1,2,3,7,11,2,9
1,3,4,7,8,4,5
1,3,4,5,6,4,7
1,2,5,6,16,1,10
1,2,4,5,13,8,10
4,6,9,10,14,5,6
2,3,4,5,6,4,5
3,4,5,10,3,1,10
3,5,7,8,10,8,11
1,2,7,8,13,1,5
2,5,7,12,19,6,7
3,7,9,15,18,3,5
2,3,5,6,8,3,10
2,3,4,9,14,6,12
1,2,3,5,17,1,7
3,9,10,11,12,1,11
1,3,5,7,10,5,8
3,7,9,10,16,3,12
1,2,7,8,12,1,9
3,4,6,7,10,4,11
1,4,8,14,15,2,6
1,2,3,7,12,5,12
2,6,14,20,24,3,7
1,4,5,12,21,2,4
2,4,6,9,10,5,9
2,3,5,6,9,9,11
1,2,3,4,14,7,11
1,4,5,8,15,3,8
1,2,4,8,23,7,8
1,5,7,9,12,4,12
2,5,9,21,23,5,8
1,2,3,4,10,3,11
1,2,3,5,30,3,12
3,5,8,11,23,3,10
1,3,8,9,14,1,12
1,2,4,8,30,4,6
2,3,10,13,14,2,8
2,3,5,7,10,6,10
1,3,4,5,17,8,10
1,2,4,9,16,1,9
4,5,6,7,9,6,11
5,6,7,10,15,2,9
5,6,7,9,15,6,6
1,2,3,4,5,5,12
1,2,3,6,8,3,7
2,3,6,12,33,5,8
1,2,4,6,12,2,11
3,4,5,14,17,5,11
3,4,10,11,16,5,11
1,4,7,9,11,3,10
2,3,5,9,18,6,12
2,4,5,8,13,1,6
1,2,11,20,29,4,6
3,4,8,11,15,4,9
1,2,3,6,11,4,10
1,3,7,8,11,5,7
3,5,8,9,11,9,12
1,2,5,8,15,1,7
2,3,6,8,19,9,11
2,3,5,6,7,4,6
1,2,3,4,7,4,8
1,3,5,8,15,4,8
1,5,6,8,19,2,9
1,2,5,9,11,1,10
1,2,4,6,35,5,8
4,5,6,12,23,2,9
1,2,3,4,7,1,6
1,2,3,5,9,8,11
1,4,7,11,12,3,3
2,3,5,8,10,3,12
2,3,4,6,7,3,6
2,4,11,16,24,2,12
1,3,10,11,21,3,7
1,4,5,6,7,6,12
2,3,8,9,15,7,11
3,4,7,21,28,8,10
3,5,7,8,11,5,9
1,2,3,7,15,8,12
4,5,6,7,8,1,11
1,3,4,5,20,9,11
4,5,10,12,18,5,6
1,2,4,5,12,7,10
3,4,5,12,19,4,6
1,2,3,10,19,1,9
1,2,3,4,8,4,5
1,2,4,7,9,9,9
1,2,6,10,21,4,12
1,5,13,15,16,2,9
4,6,8,10,16,4,11
1,4,5,8,12,2,8
6,7,9,15,16,1,10
2,9,12,13,17,1,4
1,3,7,11,20,1,12
2,3,5,8,10,6,7
4,5,6,12,18,1,10
1,3,4,6,8,3,12
2,3,13,17,18,9,10
1,3,5,7,8,1,8
2,3,4,5,19,3,10
1,2,4,8,11,2,5
1,2,3,5,6,1,7
2,3,4,8,19,10,11
1,2,3,5,9,8,12
1,3,4,7,8,3,11
3,4,7,8,10,7,11
2,3,6,9,14,4,8
1,2,5,6,13,4,7
1,2,3,4,5,9,12
1,7,9,10,11,5,10
1,3,4,5,7,4,5
1,2,5,10,12,4,5
1,2,6,11,12,1,7
1,6,8,11,16,6,7
1,2,3,15,26,6,11
1,7,10,19,21,9,9
1,3,4,8,35,3,9
3,4,14,15,20,5,11
1,3,7,8,19,9,10
1,5,6,8,15,3,9
1,2,3,6,8,4,10
5,6,7,8,9,6,8
1,2,4,5,16,10,11
2,4,11,18,23,6,11
1,3,6,7,9,4,8
1,3,6,7,9,7,10
1,3,4,16,17,2,11
1,2,5,6,14,7,10
2,3,6,9,13,7,9
1,2,14,15,21,1,12
2,5,6,12,16,5,6
1,3,4,6,10,4,9
3,4,5,8,11,2,6
1,2,3,4,5,2,2
1,2,3,7,13,2,12
1,2,4,5,6,1,9
2,5,6,12,16,2,2
1,3,4,7,10,8,12
1,2,6,12,14,2,2
1,2,4,7,9,5,12
1,2,5,8,9,2,7
1,4,5,8,14,1,3
4,5,11,15,16,6,11
1,3,5,6,7,8,8
2,8,10,13,14,1,10
2,3,6,7,26,8,12
1,4,5,6,9,1,9
2,4,6,8,10,2,7
2,4,7,11,12,4,9
3,5,6,14,24,7,9
2,4,5,6,14,3,12
1,3,4,5,6,7,7
1,4,5,8,15,10,11
1,2,6,7,18,2,11
1,3,6,7,13,2,12
2,3,4,7,8,2,3
1,3,7,10,18,1,6
1,3,6,9,10,3,12
1,5,9,13,14,9,11
2,3,10,11,16,1,6
1,6,7,15,17,5,11
4,5,7,9,12,4,6
1,2,6,7,9,1,5
2,5,8,12,15,5,11
1,3,9,14,18,1,9
6,7,9,14,17,1,7
1,3,4,6,11,1,6
1,3,5,6,10,4,10
5,6,8,14,20,5,7
2,3,4,7,12,1,7
1,2,3,5,8,5,7
3,6,8,14,16,4,11
2,3,4,5,10,2,5
1,3,6,14,29,4,9
1,2,3,11,12,5,11
2,3,6,7,12,9,10
1,3,4,10,12,6,7
1,2,5,6,16,1,11
1,2,3,5,11,3,12
1,2,5,6,11,2,9
1,2,3,4,30,1,10
1,6,13,17,33,4,7
1,3,4,5,9,6,7
1,2,3,8,10,5,5
4,5,6,9,14,2,8
1,7,12,13,14,4,11
1,2,6,8,10,4,6
1,4,5,6,7,7,7
2,5,11,19,35,1,7
4,7,9,11,17,5,10
1,3,4,5,10,1,5
1,3,8,18,23,6,7
1,2,3,6,8,4,9
5,6,11,13,15,6,8
1,3,5,6,7,1,6
1,2,4,5,8,6,6
2,3,4,7,10,3,4
1,5,6,8,20,1,10
4,5,7,16,18,1,9
2,3,4,5,6,7,10
1,2,8,14,15,7,12
1,2,4,5,6,5,10
1,3,4,6,9,6,12
3,4,5,7,11,6,8
1,3,5,13,16,1,8
2,4,5,9,14,9,11
4,5,6,9,16,6,12
1,2,5,6,8,1,10
1,5,11,19,24,3,8
1,2,3,4,6,2,11
1,2,5,10,15,6,10
5,7,8,15,19,1,9
2,3,5,6,16,3,9
1,2,4,8,13,4,4
1,9,10,11,14,4,5
2,5,8,10,11,6,10
1,2,10,11,26,3,12
1,2,7,14,15,8,9
1,2,5,10,18,4,9
1,3,5,6,20,6,11
3,4,6,7,32,2,11
1,4,6,8,12,7,9
1,6,8,13,16,5,8
1,2,3,4,10,3,12
1,2,3,6,14,4,10
1,3,5,10,15,8,11
1,2,3,5,8,5,6
2,4,5,7,10,1,10
1,3,6,7,14,4,11
2,4,5,7,13,5,8
1,2,3,4,6,3,8
2,3,8,9,13,1,8
1,2,5,7,12,4,10
1,3,5,7,12,1,11
3,6,7,8,10,7,7
3,4,8,10,15,4,10
1,2,8,10,11,3,5
1,2,3,9,11,3,10
1,3,4,17,28,2,12
1,2,4,9,13,7,10
1,4,8,13,30,4,10
1,2,4,14,18,5,10
2,3,5,6,19,5,11
1,2,3,4,6,4,10
4,6,9,12,16,3,8
1,2,6,7,31,5,8
1,3,4,8,9,1,11
1,2,8,12,15,4,9
2,4,7,10,18,5,9
2,3,6,14,18,6,9
1,2,4,6,14,1,12
1,3,6,7,14,1,12
1,3,4,6,11,2,6
2,3,4,9,16,6,9
2,4,5,13,15,3,9
1,2,3,4,10,2,3
1,2,5,10,11,3,12
2,3,4,6,14,4,9
1,3,4,6,7,1,9
3,5,9,14,16,8,10
2,8,10,13,19,2,12
3,4,5,13,28,3,12
1,3,5,7,11,2,10
4,5,9,11,11,2,10
1,2,4,5,16,2,7
3,6,14,15,17,3,5
1,3,4,7,11,5,7
2,5,6,8,14,1,12
1,5,6,10,17,8,11
3,4,6,7,11,2,9
2,4,7,9,15,3,11
2,4,5,12,15,7,7
1,2,3,4,7,9,9
1,2,10,14,19,8,8
1,4,5,6,7,3,5
1,3,6,7,15,2,7
2,3,5,24,26,5,9
1,2,7,8,9,3,8
1,5,6,8,9,2,11
2,3,4,7,16,4,11
1,6,7,9,16,2,12
1,2,4,6,9,10,12
3,4,5,6,10,6,8
1,4,7,8,12,2,7
1,3,5,9,13,11,11
2,4,5,9,14,5,8
1,2,5,6,10,6,12
1,2,3,5,15,2,8
2,4,5,6,10,4,11
1,2,3,14,16,8,12
1,3,4,5,16,4,10
1,4,7,10,14,4,7
2,7,10,11,12,5,9
2,3,9,15,21,7,8
1,2,4,8,13,1,4
1,4,7,9,23,1,12
5,10,11,15,16,3,12
1,3,6,7,13,10,11
1,2,3,7,8,4,8
1,2,4,7,9,10,10
2,3,4,6,12,2,11
2,5,6,12,16,3,7
2,4,5,7,25,6,9
5,6,7,9,21,2,12
2,4,5,8,12,7,9
2,5,6,7,13,5,5
1,2,4,5,6,10,11
1,3,4,7,19,1,11
1,2,3,7,13,2,4
2,3,4,6,7,6,10
1,2,3,4,7,3,10
1,2,3,4,13,2,7
1,3,5,7,8,2,10
4,5,6,12,17,10,11
1,6,11,14,24,4,12
1,3,6,7,11,6,12
1,2,5,8,34,7,12
1,3,4,12,33,1,12
2,3,5,10,19,5,7
2,5,6,9,17,4,8
3,7,8,9,17,9,11
2,3,4,5,11,1,6
3,4,9,11,12,6,12
1,2,5,6,16,8,9
2,5,6,7,10,1,10
1,3,4,8,11,9,10
2,3,4,5,15,5,11
2,3,5,7,8,7,10
1,11,13,16,26,7,8
2,3,8,9,14,7,12
3,6,10,12,13,7,9
1,2,15,17,22,5,5
4,7,9,13,14,4,10
1,3,6,7,21,1,3
2,3,4,5,7,2,8
1,2,8,9,10,5,9
1,3,5,6,9,2,10
3,6,9,12,13,4,9
1,5,9,15,18,5,9
1,3,8,11,27,7,8
2,4,8,11,13,1,8
1,3,5,9,11,2,12
4,5,14,15,21,1,11
1,4,5,10,15,1,10
1,2,6,7,8,2,9
1,2,3,7,8,3,7
1,2,4,6,13,6,10
1,2,3,5,8,3,8
3,4,5,13,21,1,12
2,4,5,7,11,10,10
1,2,7,10,11,4,10
2,3,5,11,22,2,9
3,4,5,6,7,1,10
2,5,8,11,15,3,8
1,2,5,7,10,8,12
1,2,4,7,8,7,7
1,2,7,11,14,4,5
1,3,4,7,13,5,8
2,3,4,6,21,7,11
1,2,4,6,12,3,9
1,3,5,6,8,9,9
1,3,5,8,10,8,12
1,3,4,5,9,3,7
1,4,7,8,10,5,10
1,4,5,7,19,1,8
1,3,6,7,8,3,10
1,3,6,13,26,5,6
7,13,14,19,23,3,6
2,5,7,11,28,1,12
1,6,7,13,15,2,5
1,3,4,10,14,5,11
1,3,5,7,11,6,12
2,3,5,6,17,6,11
1,3,4,10,22,1,10
3,4,5,11,32,7,7
2,4,5,10,11,7,8
1,2,3,10,11,3,12
1,2,4,8,12,1,5
3,4,7,10,17,2,9
1,2,7,16,18,4,8
4,6,7,8,11,2,10
1,2,3,5,7,5,12
1,4,6,12,13,9,10
1,2,4,6,10,8,11
2,5,6,8,10,10,9
2,3,4,5,8,2,10
1,7,12,15,5,2,11
1,3,4,6,7,8,9
1,3,5,8,9,3,7
1,2,5,8,13,5,8
1,5,6,8,15,1,11
2,6,7,14,21,6,10
1,2,3,17,24,4,8
1,2,3,6,9,6,10
1,4,9,15,16,4,12
3,8,13,15,20,1,11
2,3,8,10,15,2,10
1,3,4,5,9,3,5
1,2,3,7,14,6,9
1,3,4,7,10,7,11
1,2,3,5,24,4,12
1,3,5,6,33,7,9
1,3,4,5,8,10,12
1,4,5,6,11,10,11
2,6,7,9,11,1,9
1,2,6,9,23,6,11
7,12,15,16,21,3,4
1,2,3,5,8,2,10
1,2,4,5,14,1,10
1,2,3,6,12,1,11
1,4,5,11,18,6,12
3,5,11,13,30,1,10
1,4,7,12,18,4,11
2,3,4,5,6,1,12
3,5,7,8,17,6,12
1,2,3,6,10,3,8
1,3,4,5,11,3,12
2,3,9,13,17,6,8
2,4,6,9,14,2,6
1,2,4,5,8,2,8
1,2,5,7,8,5,7
2,3,7,8,13,9,12
2,7,8,9,11,4,10
1,3,6,14,18,6,10
1,2,4,5,9,3,8
9,10,13,15,20,9,12
2,3,4,5,19,1,11
2,3,6,7,25,6,11
2,3,5,7,10,1,9
1,4,5,6,18,3,8
2,3,7,8,17,5,7
1,3,6,10,11,10,12
1,2,3,6,23,2,7
3,4,7,10,18,1,9
2,3,4,16,29,2,8
1,2,3,9,10,7,10
1,6,7,8,15,1,8
1,5,9,10,12,4,10
2,3,4,5,6,10,8
1,2,5,11,30,1,10
2,4,5,13,20,7,10
3,4,5,13,15,5,8
1,4,5,9,17,4,12
1,5,13,16,19,9,12
1,2,5,6,7,1,2
1,2,3,4,6,5,7
5,6,11,15,18,6,7
2,5,7,8,12,7,11
1,2,7,10,13,6,11
2,4,6,7,11,1,11
1,3,4,5,20,3,7
1,2,3,6,8,6,9
2,3,8,9,11,2,8
1,2,4,8,10,2,10
1,2,5,11,14,3,11
1,2,3,9,10,3,9
1,2,3,18,24,5,8
1,2,5,9,23,2,12
1,2,3,6,7,1,11
2,3,4,6,18,5,6
1,4,5,6,11,2,5
3,5,7,9,10,1,5
2,5,7,23,5,4,9
1,2,5,6,10,6,10
1,2,4,7,8,9,10
2,5,10,14,15,2,3
1,3,4,6,11,4,4
3,6,7,9,14,5,10
1,2,8,9,12,4,9
1,4,5,6,11,1,10
1,2,4,7,20,5,10
3,4,12,13,15,7,12
2,3,4,5,9,7,12
3,6,7,9,6,5,12
1,3,4,5,6,3,11
1,3,5,7,9,6,8
2,3,5,6,10,2,9
1,5,14,15,20,6,9
1,2,3,5,6,1,5
1,3,5,7,12,2,9
1,3,4,6,24,6,8
1,2,4,8,11,1,8
1,2,4,6,16,4,11
1,3,6,12,16,2,7
4,5,9,11,15,4,7
1,4,5,9,13,3,11
2,3,5,8,9,3,11
1,2,4,6,20,3,4
1,3,5,8,12,8,9
1,2,3,8,10,6,12
3,4,5,6,21,9,12
4,6,7,13,17,6,12
2,5,7,8,9,3,9
2,4,5,8,17,3,8
1,2,4,5,15,5,10
3,7,9,14,17,7,12
1,2,3,10,11,2,4
1,4,7,8,17,7,12
4,8,10,11,15,10,10
1,2,4,5,12,6,12
1,2,5,6,10,5,8
2,4,5,7,10,2,11
1,2,4,5,9,2,4
1,2,3,4,6,1,12
2,3,9,10,22,2,7
2,3,4,6,9,8,10
1,2,7,9,10,10,10
5,10,13,15,24,7,10
4,6,7,10,19,3,5
1,2,3,9,10,4,12
2,3,5,8,14,5,9
2,3,5,6,16,9,11
2,3,14,20,23,3,12
2,3,4,7,19,5,10
1,7,9,12,26,5,8
1,2,9,11,12,2,12
2,3,4,5,11,4,9
1,2,6,9,10,4,8
