序号,红1,红2,红3,红4,红5,蓝1,蓝2
300,1,7,12,27,34,3,12
301,1,2,13,21,24,1,10
302,1,2,13,24,33,1,10
303,1,2,15,29,30,6,7
304,1,2,15,24,33,1,10
305,1,8,12,22,27,2,12
306,4,8,12,25,28,3,8
307,5,12,18,29,32,1,12
308,9,12,20,25,32,5,12
309,5,17,18,22,33,2,12
310,1,2,14,22,26,5,12
311,5,8,18,23,34,3,12
312,1,7,19,23,25,2,10
313,1,14,19,22,27,4,12
314,3,10,17,18,26,1,10
315,1,15,19,22,34,4,12
316,3,4,5,20,24,2,12
317,3,4,5,6,17,3,12
318,7,19,20,22,27,2,9
319,6,11,21,26,35,1,12
320,4,6,12,20,21,2,12
321,4,6,12,20,21,1,11
322,7,9,12,17,21,5,11
323,7,9,12,15,17,1,12
324,1,7,23,34,35,5,12
325,7,12,15,23,27,1,12
326,2,7,15,20,21,1,12
327,1,7,19,21,25,1,11
328,3,8,15,32,33,4,9
329,1,20,21,23,26,5,12
330,2,6,15,26,35,3,12
331,5,7,16,21,27,2,12
332,11,13,16,21,35,3,12
333,5,8,21,24,32,1,10
334,1,13,21,32,33,2,12
335,1,15,21,23,33,9,11
336,1,8,16,26,35,3,12
337,6,7,18,26,35,1,12
338,7,12,15,20,35,1,12
339,5,8,23,24,29,1,9
340,1,5,8,15,22,1,9
341,1,5,8,23,24,2,12
342,5,8,12,22,27,2,12
343,1,12,18,29,32,1,12
344,1,20,21,26,35,3,10
345,1,7,12,21,31,1,11
346,1,7,19,27,34,3,12
347,1,2,15,22,33,2,12
348,5,17,24,33,35,1,10
349,1,5,16,26,35,3,12
350,1,8,12,15,35,1,12
351,1,7,11,14,17,2,4
352,1,7,11,14,17,2,5
353,4,6,19,21,22,4,12
354,1,12,19,21,26,1,12
355,4,7,17,19,21,1,12
356,4,7,17,22,24,8,11
357,1,14,17,20,22,2,12
358,1,5,21,26,33,3,7
359,1,8,19,27,34,4,12
360,4,12,18,26,35,1,7
361,2,13,21,26,33,2,9
362,1,20,21,28,35,1,12
363,1,7,15,23,32,1,10
364,1,5,15,23,27,5,12
365,1,8,13,18,21,1,7
366,1,8,13,18,21,2,12
367,3,8,16,26,35,3,12
368,1,8,20,24,34,2,12
369,2,7,9,21,26,1,12
370,2,7,13,15,20,1,12
371,1,7,23,34,35,4,12
372,1,2,5,17,18,2,12
373,1,2,5,13,32,1,10
374,3,17,21,26,35,3,12
375,1,20,21,23,35,1,12
376,1,5,8,15,22,4,9
377,1,5,7,11,21,1,12
378,6,7,18,25,30,4,9
379,6,11,18,25,32,1,12
380,6,11,21,26,33,2,10
381,1,20,21,26,35,1,12
382,1,8,20,21,26,2,9
383,1,8,15,19,20,1,11
384,5,7,10,16,26,5,12
385,5,7,10,16,23,3,12
386,2,7,21,23,34,3,12
387,1,14,22,23,33,2,12
388,12,19,22,23,27,2,12
389,7,9,19,23,25,2,10
390,1,8,20,21,32,1,9
391,1,8,20,21,26,2,12
392,5,9,12,17,24,5,12
393,5,9,12,17,20,2,12
394,1,8,14,17,22,1,11
395,1,8,14,15,22,6,12
396,1,7,20,21,26,1,9
397,1,7,20,21,28,1,11
398,1,3,7,18,29,2,12
399,1,3,7,20,24,4,9
400,3,8,18,21,26,1,12
401,6,7,18,21,32,2,12
402,2,5,6,7,16,1,10
403,1,2,5,7,24,3,12
404,1,2,9,13,20,4,11
405,1,2,9,13,20,1,7
406,1,7,9,10,23,5,12
407,5,7,9,17,20,2,9
408,1,5,8,10,17,1,12
409,1,5,8,10,15,4,9
410,1,2,11,16,21,2,12
411,1,2,7,21,23,1,12
412,1,2,14,24,33,1,10
413,1,2,14,22,23,3,12
414,2,5,24,33,35,1,10
415,1,7,13,23,35,5,12
416,3,13,15,26,35,3,12
417,5,7,16,32,33,4,9
418,1,7,8,12,22,2,12
419,1,7,8,12,26,4,11
420,1,7,9,16,20,1,12
421,3,8,9,20,24,2,12
422,1,7,14,21,22,1,11
423,3,7,14,21,22,7,12
424,1,13,17,20,33,2,9
425,1,9,21,24,35,1,10
426,1,5,12,22,24,1,12
427,2,12,15,17,22,1,12
428,1,2,14,22,23,1,10
429,1,13,14,24,33,3,12
430,1,4,7,23,33,2,12
431,2,7,10,21,25,2,10
432,1,2,8,13,21,1,10
433,1,2,8,12,22,2,12
434,1,13,21,24,32,4,10
435,3,7,18,29,35,4,8
436,1,5,12,13,21,6,10
437,1,5,12,13,19,2,12
438,7,8,18,26,35,3,12
439,1,8,16,26,29,1,7
440,1,2,15,21,26,1,12
441,6,11,15,21,25,1,11
442,1,7,20,21,29,2,12
443,2,7,20,21,23,2,12
444,2,6,8,15,27,2,12
445,2,6,7,18,26,1,12
446,1,2,15,24,33,1,11
447,1,2,15,24,25,1,10
448,1,7,9,23,24,1,10
449,6,7,9,23,34,5,12
450,1,8,15,25,29,1,11
451,1,2,18,26,35,1,7
452,1,17,24,28,34,2,12
453,5,7,16,26,27,3,12
454,1,5,8,15,18,1,10
455,5,8,15,18,23,3,12
456,5,12,17,20,33,1,10
457,1,5,15,20,32,1,10
458,1,5,20,21,26,1,9
459,5,7,16,20,26,1,11
460,5,7,20,21,28,3,12
461,1,7,8,15,23,4,9
462,5,7,10,15,23,5,12
463,7,8,21,32,33,4,12
464,1,5,12,14,34,1,12
465,5,12,14,17,22,3,12
466,16,17,24,28,34,2,12
467,1,5,11,14,20,2,12
468,1,3,8,21,32,2,12
469,1,2,8,16,26,3,12
470,1,2,8,15,24,1,10
471,2,8,15,24,33,1,7
472,1,7,10,27,32,2,12
473,1,2,5,24,33,1,12
474,1,2,5,12,15,1,10
475,1,2,4,7,11,1,12
476,1,2,7,20,29,1,12
477,5,7,12,27,34,3,12
478,1,7,16,26,35,3,12
479,3,8,17,18,24,1,9
480,5,8,16,17,23,1,12
481,1,7,8,18,23,3,12
482,5,7,8,12,27,3,12
483,1,2,21,27,32,2,12
484,11,13,21,27,32,2,12
485,1,6,12,20,21,2,12
486,4,6,12,20,21,2,9
487,6,7,18,28,33,3,11
488,1,6,21,26,27,1,12
489,1,9,10,24,33,1,10
490,2,7,16,26,35,3,12
491,1,5,19,20,21,2,12
492,1,5,18,20,21,2,9
493,1,5,7,10,24,1,7
494,1,5,7,12,15,1,12
495,5,18,21,26,35,1,12
496,2,13,21,22,33,2,12
497,1,7,9,12,21,2,9
498,1,7,9,12,17,4,12
499,1,3,8,15,19,1,12
500,1,3,6,12,19,4,12
501,1,3,7,8,23,2,12
502,1,3,8,13,21,4,8
503,2,7,15,20,26,4,8
504,2,6,15,20,24,2,12
505,1,2,4,6,15,1,12
506,1,2,4,6,21,1,10
507,1,8,14,15,25,3,12
508,1,8,14,22,29,1,11
509,1,7,15,20,23,1,10
510,1,7,15,20,21,1,11
511,2,4,15,22,33,2,12
512,1,14,24,28,34,2,12
513,2,5,8,21,32,2,12
514,3,5,8,24,33,1,10
515,1,3,7,26,34,3,12
516,7,8,18,26,29,2,12
517,1,5,8,12,15,1,12
518,1,7,8,18,26,1,7
519,5,17,24,28,32,2,12
520,3,7,15,17,23,1,10
521,1,7,17,21,26,3,12
522,2,21,23,28,34,3,12
523,1,15,22,23,33,5,12
524,1,2,6,8,16,3,12
525,1,2,6,8,15,3,12
526,1,8,13,21,24,1,10
527,1,8,13,20,21,2,12
528,1,5,8,15,19,1,11
529,1,5,8,21,26,3,7
530,1,10,20,21,24,1,10
531,1,9,10,21,26,1,12
532,1,7,12,21,26,3,12
533,1,12,20,21,27,3,12
534,2,11,18,29,35,4,8
535,3,6,15,26,35,3,12
536,2,3,8,18,26,1,7
537,4,7,12,23,27,5,12
538,1,7,12,18,26,1,7
539,1,7,15,16,19,4,12
540,1,4,7,8,16,2,12
541,1,4,8,16,31,3,12
542,1,8,15,18,26,1,7
543,1,8,15,18,25,1,11
544,4,8,12,18,20,2,9
545,1,8,12,18,20,1,7
546,1,2,5,7,16,3,12
547,1,2,5,16,20,1,12
548,1,4,7,12,27,3,12
549,1,4,12,18,26,1,7
550,1,8,12,15,31,1,12
551,1,5,8,12,22,1,12
552,1,5,7,8,18,3,12
553,1,2,7,15,21,6,12
554,1,2,7,13,23,3,12
555,1,8,13,19,27,4,12
556,1,8,13,14,24,3,12
557,1,3,6,15,26,3,12
558,2,3,6,7,18,2,12
559,1,3,8,16,20,3,12
560,1,3,8,20,21,1,12
561,1,7,13,14,24,1,11
562,1,7,13,20,34,3,12
563,2,5,24,28,34,2,12
564,3,7,18,21,32,2,12
565,6,8,21,32,33,2,12
566,1,3,8,20,21,3,12
567,1,3,8,20,21,2,12
568,1,7,23,26,35,1,12
569,1,20,21,27,35,5,12
570,1,8,17,20,33,1,10
571,5,12,16,26,35,3,12
572,1,6,12,21,26,3,7
573,1,5,12,20,21,2,12
574,3,7,8,17,21,4,12
575,1,2,9,21,28,3,12
576,1,2,9,16,20,1,12
577,1,7,12,21,31,1,4
578,1,10,14,24,33,1,7
579,1,7,17,20,22,2,12
580,1,2,4,5,7,2,12
581,1,2,4,5,7,1,3
582,1,2,6,7,15,3,12
583,1,2,6,7,15,8,10
584,1,2,7,9,19,3,12
585,1,2,7,9,16,3,12
586,1,7,13,17,20,2,9
587,1,7,12,13,21,1,11
588,1,2,7,18,23,4,12
589,1,2,7,15,23,5,12
590,5,18,24,28,34,2,12
591,1,17,21,26,35,1,12
592,1,2,13,15,24,1,10
593,1,7,8,21,32,4,12
594,4,7,13,21,23,5,12
595,1,5,6,15,26,3,12
596,2,5,6,16,26,3,12
597,1,6,7,21,26,1,12
598,1,6,7,20,33,1,11
599,1,2,5,9,21,1,10
600,1,2,5,8,15,1,10
601,1,2,5,8,14,4,9
602,5,7,12,21,26,1,12
603,1,6,12,21,27,3,12
604,2,6,15,20,22,2,12
605,1,14,17,26,35,3,12
606,1,7,8,18,26,3,12
607,6,9,10,22,24,1,10
608,1,7,14,23,33,2,12
609,1,14,21,22,23,1,11
610,2,7,13,21,26,1,12
611,1,7,15,20,22,4,12
612,1,7,15,19,20,5,12
613,1,5,7,14,21,5,11
614,1,7,16,23,26,3,12
615,1,7,10,23,34,2,12
616,1,7,10,23,27,4,12
617,1,12,18,21,35,3,10
618,2,18,20,29,32,1,9
619,1,8,18,20,21,2,12
620,6,7,18,20,21,1,9
621,1,4,8,10,15,1,11
622,1,7,8,10,15,1,7
623,4,14,22,23,34,3,12
624,1,12,18,26,35,1,7
625,1,9,16,20,26,3,12
626,2,9,20,21,26,1,12
627,1,3,8,13,21,2,12
628,2,3,8,13,17,2,9
629,3,8,14,16,24,1,10
630,1,2,14,16,26,3,12
631,1,4,5,12,14,2,12
632,1,4,5,14,24,1,12
633,1,7,20,21,29,1,12
634,7,16,20,21,30,2,8
635,2,6,12,15,18,1,12
636,1,6,12,15,18,3,12
637,1,5,12,27,34,3,12
638,1,7,8,15,18,8,10
639,2,6,8,15,16,3,12
640,1,6,15,16,19,3,12
641,1,5,8,20,24,2,12
642,1,5,8,19,20,2,12
643,3,5,8,12,14,1,12
644,1,5,8,21,32,2,12
645,1,8,13,21,27,2,12
646,4,5,7,14,24,2,12
647,4,5,7,12,14,3,12
648,2,8,13,21,26,2,7
649,2,8,13,15,24,1,12
650,2,4,12,21,27,2,12
651,1,2,12,18,26,1,7
652,1,5,8,18,26,3,12
653,1,7,19,21,32,2,12
654,1,2,7,16,18,1,7
655,1,2,7,16,18,3,12
656,4,14,21,28,35,1,12
657,1,20,22,23,34,3,12
658,1,14,22,26,35,3,12
659,10,12,16,23,34,3,12
660,1,8,18,26,29,2,4
661,7,8,16,26,35,3,12
662,1,12,14,18,24,2,11
663,1,12,14,18,24,3,11
664,1,4,14,21,28,1,12
665,1,4,7,23,27,5,12
666,2,8,13,24,29,1,12
667,1,5,21,26,35,1,12
668,2,8,13,20,24,2,12
669,1,2,9,16,26,3,12
670,1,5,12,25,27,3,12
671,1,20,23,27,35,5,12
672,1,7,21,28,35,1,12
673,1,7,21,26,27,1,12
674,1,6,15,19,25,5,12
675,1,15,24,27,35,5,12
676,1,6,7,12,21,1,12
677,1,6,7,26,30,3,12
678,1,2,7,21,23,3,7
679,1,2,7,17,21,3,6
680,1,13,17,20,21,2,9
681,1,13,17,20,21,1,12
682,1,7,20,23,33,2,9
683,1,13,17,27,35,5,12
684,4,7,12,16,23,3,4
685,1,7,12,16,23,5,12
686,1,8,11,12,13,3,12
687,1,5,8,12,13,3,12
688,1,7,20,26,35,3,9
689,1,7,16,21,29,1,12
690,1,9,21,23,35,1,12
691,1,8,17,20,33,2,12
692,1,10,13,21,27,1,10
693,2,9,20,26,34,1,12
694,1,7,19,21,23,2,12
695,1,7,19,21,27,5,12
696,1,7,13,23,34,3,12
697,1,14,20,22,34,3,12
698,1,7,9,23,27,5,12
699,1,7,9,21,24,1,10
700,1,13,27,30,33,2,12
701,1,7,23,26,35,3,12
702,1,5,16,27,35,5,12
703,2,6,13,21,22,2,12
704,2,6,15,26,35,1,12
705,1,13,15,26,35,3,12
706,5,8,11,21,32,2,12
707,2,8,13,21,27,2,12
708,1,8,22,23,33,5,12
709,1,13,14,15,24,3,12
710,1,12,20,21,26,1,12
711,1,12,20,21,32,3,12
712,1,3,8,16,26,3,12
713,1,5,8,16,26,3,12
714,1,17,18,29,32,1,9
715,2,8,16,26,35,3,12
716,1,12,23,27,35,5,12
717,1,11,20,21,26,1,12
718,4,7,20,23,27,5,12
719,1,7,20,21,28,1,12
720,1,7,13,20,21,1,12
721,2,11,13,21,26,3,12
722,1,2,9,12,16,3,12
723,1,2,9,12,16,1,7
724,2,6,9,12,15,3,12
725,1,6,9,16,26,4,12
726,1,15,17,26,29,3,12
727,3,6,15,21,27,1,12
728,1,9,13,21,27,2,12
729,1,8,21,32,35,1,10
730,2,4,5,7,12,1,12
731,2,4,5,7,12,2,12
732,1,4,7,14,21,1,12
733,1,4,7,14,16,3,12
734,1,7,10,23,26,2,12
735,1,7,10,23,26,1,12
736,1,6,7,20,21,1,12
737,1,6,20,21,26,1,12
738,1,7,13,16,17,3,12
739,1,7,13,16,17,2,6
740,2,5,9,16,26,3,12
741,2,5,12,16,26,3,12
742,1,2,5,16,28,2,12
743,1,2,7,23,27,5,12
744,1,2,9,21,24,1,10
745,1,2,9,13,15,1,10
746,1,12,18,26,35,1,12
747,2,13,21,26,35,3,10
748,1,5,7,25,26,1,12
749,1,7,8,12,23,1,12
750,1,7,17,20,23,5,12
751,1,7,17,23,27,2,12
752,3,13,15,30,35,3,12
753,1,14,17,26,35,5,12
754,1,7,8,10,13,4,12
755,1,7,8,10,13,2,12
756,2,5,8,17,21,1,10
757,2,5,17,24,33,2,11
758,1,3,5,7,24,1,4
759,1,2,5,7,26,3,12
760,1,9,10,23,28,3,12
761,2,10,21,23,28,1,12
762,1,2,5,9,16,3,12
763,1,2,5,9,16,1,12
764,1,5,7,12,16,3,12
765,1,5,10,12,16,3,12
766,1,2,7,13,23,5,12
767,1,2,7,13,31,2,12
768,1,2,5,8,24,2,12
769,1,2,8,13,21,1,12
770,2,20,21,23,26,1,12
771,1,20,21,23,28,3,12
772,1,7,16,29,35,4,8
773,2,11,18,26,35,3,12
774,6,8,13,20,21,2,12
775,1,8,21,27,33,2,12
776,1,12,24,28,34,2,12
777,1,14,18,26,35,1,7
778,1,2,7,9,21,1,12
779,1,2,7,9,35,1,10
780,1,6,12,14,21,3,12
781,1,6,14,24,28,2,12
782,1,6,7,12,26,3,12
783,1,8,15,21,26,3,12
784,1,5,12,24,25,2,12
785,2,5,12,24,28,1,12
786,4,8,12,20,24,1,12
787,1,8,20,21,28,1,12
788,1,7,13,23,27,7,12
789,1,7,13,20,23,3,12
790,1,2,7,8,15,1,7
791,1,2,8,11,16,3,12
792,1,2,11,22,28,4,8
793,1,5,16,20,26,3,9
794,1,5,20,21,27,5,12
795,2,6,7,21,26,1,12
796,1,13,21,26,35,1,12
797,1,2,8,24,26,1,9
798,1,2,5,8,15,2,12
799,1,13,15,17,20,2,9
800,1,7,22,23,33,5,12
801,1,7,14,15,22,5,12
802,1,7,14,15,33,2,12
803,1,6,7,12,15,3,12
804,1,6,7,12,19,1,10
805,1,2,5,17,21,1,12
806,1,9,10,14,20,1,12
807,2,9,10,20,23,1,7
808,1,13,17,18,25,6,11
809,1,8,15,20,33,2,9
810,1,2,7,21,23,2,12
811,1,2,7,21,23,5,12
812,1,2,9,21,23,1,10
813,1,2,9,13,21,1,12
814,1,14,15,26,32,3,12
815,1,7,8,23,26,1,12
816,4,5,12,27,34,3,12
817,1,6,9,14,17,5,12
818,1,6,9,14,17,4,12
819,1,5,14,16,17,3,12
820,1,13,20,21,26,1,12
821,1,5,8,21,27,2,12
822,1,14,18,26,27,1,12
823,1,7,21,26,35,1,7
824,1,5,21,26,35,3,10
825,2,13,21,25,35,1,12
826,1,17,21,23,26,1,12
827,1,7,21,23,26,1,12
828,1,4,18,26,29,2,4
829,1,9,16,26,35,3,12
830,1,8,22,26,35,3,12
831,2,9,12,16,20,3,12
832,1,9,12,14,18,2,11
833,1,7,21,27,33,2,12
834,11,18,27,30,33,2,12
835,1,6,13,15,21,1,12
836,3,13,21,22,26,1,12
837,1,14,22,24,35,3,12
838,1,13,17,20,21,1,10
839,1,2,13,17,21,1,9
840,1,2,13,17,18,1,12
841,1,12,15,20,33,2,9
842,1,8,24,27,28,2,12
843,1,15,20,21,24,1,12
844,1,15,20,21,24,5,12
845,1,4,21,26,35,1,12
846,1,7,14,17,21,1,12
847,1,9,13,21,23,1,12
848,1,9,13,21,26,4,12
849,1,8,14,16,17,3,12
850,1,2,7,20,23,2,9
851,1,5,13,20,23,2,12
852,1,4,7,17,23,2,12
853,1,4,7,17,23,5,12
854,1,12,17,18,21,3,10
855,1,12,17,18,21,6,12
856,5,7,8,16,26,3,12
857,1,7,8,16,26,3,12
858,1,4,7,21,28,5,11
859,1,4,7,23,27,1,12
860,1,7,20,21,35,3,12
861,1,12,16,23,34,3,12
862,10,17,21,26,35,1,12
863,1,7,19,27,33,5,12
864,1,5,22,23,34,3,12
865,1,14,16,26,35,3,12
866,1,13,17,21,24,1,10
867,1,2,9,20,34,1,12
868,2,14,17,26,35,5,12
869,1,6,15,26,35,1,12
870,1,7,16,20,26,3,12
871,8,14,16,20,23,2,9
