code,name
601933,永辉超市
601939,建设银行
601949,中国核电
601958,金钼股份
601963,重庆银行
601965,中国汽研
601968,中国燃气
601969,海南矿业
601988,中国银行
601989,中国重工
601990,中国核电
601992,金隅集团
601995,中金公司
601998,中信银行
